order_id,user_id,problem_id,correct,skill_id,skill_name,ms_first_response,answer_type,attempt_count,,original_problem_id
23077982,78161,112,0,524,程序编写,17921,java编程题,1,,86
23457200,78163,112,1,524,程序编写,27172,java编程题,1,,86
22950946,78176,112,0,524,程序编写,82199,java编程题,1,,86
22983764,78184,112,1,524,程序编写,2727,java编程题,1,,86
23082856,78270,112,0,524,程序编写,33157,java编程题,1,,86
23134537,78282,112,1,524,程序编写,7172,java编程题,1,,86
24973166,78704,112,0,524,程序编写,27978,java编程题,1,,86
23156868,78708,112,1,524,程序编写,4765,java编程题,1,,86
24972424,78765,112,1,524,程序编写,27344,java编程题,1,,86
22950995,79111,112,0,524,程序编写,3179,java编程题,1,,86
26432698,78178,113,1,525,顺序结构,12766,java编程题,1,,252
23778452,78277,113,1,525,顺序结构,23564,java编程题,1,,252
23074653,78572,113,0,525,顺序结构,122519,java编程题,2,,252
23363208,78708,113,1,525,顺序结构,7859,java编程题,1,,252
24978091,78714,113,0,525,顺序结构,6701,java编程题,0,,252
22949412,78158,114,0,525,顺序结构,35400,java编程题,1,,810
23132855,78161,114,0,525,顺序结构,43860,java编程题,1,,810
23004393,78282,114,1,525,顺序结构,144891,java编程题,1,,810
22986130,78283,114,0,525,顺序结构,64792,java编程题,1,,810
23775022,78704,114,0,525,顺序结构,21363,java编程题,0,,810
24975180,78705,114,0,525,顺序结构,5310,java编程题,1,,810
23775164,78708,114,0,525,顺序结构,3631,java编程题,1,,810
23073531,78724,114,0,525,顺序结构,21212,java编程题,0,,810
23458528,79111,114,0,525,顺序结构,10221,java编程题,1,,810
25567837,78178,115,1,413,字符串,11518,java编程题,1,,849
21284226,78718,115,0,413,字符串,35835,java编程题,1,,849
23497063,79111,115,0,413,字符串,23112,java编程题,1,,849
24811067,80219,115,0,413,字符串,119941,java编程题,1,,849
23169486,78158,116,1,526,大整数加法,9078,java编程题,1,,1080
23025044,78167,116,0,526,大整数加法,83875,java编程题,1,,1080
24470415,78184,116,1,526,大整数加法,54230,java编程题,1,,1080
23138511,78270,116,1,526,大整数加法,131867,java编程题,1,,1080
23020184,78277,116,1,526,大整数加法,20471,java编程题,1,,1080
23005045,78282,116,0,526,大整数加法,2610,java编程题,1,,1080
23010338,78285,116,1,526,大整数加法,71390,java编程题,1,,1080
23181759,78286,116,1,526,大整数加法,5735,java编程题,1,,1080
23362642,78708,116,1,526,大整数加法,13328,java编程题,1,,1080
24970813,78710,116,0,526,大整数加法,45044,java编程题,1,,1080
23775752,78714,116,1,526,大整数加法,62757,java编程题,1,,1080
22950895,79111,116,1,526,大整数加法,18537,java编程题,1,,1080
25567175,78178,117,0,525,顺序结构,42539,java编程题,1,,1085
23139145,78285,117,1,525,顺序结构,50672,java编程题,1,,1085
24970745,78708,117,0,525,顺序结构,14508,java编程题,1,,1085
24813770,78710,117,0,525,顺序结构,5441,java编程题,1,,1085
23497143,79111,117,0,525,顺序结构,61011,java编程题,1,,1085
23073091,79957,117,0,525,顺序结构,5455,java编程题,0,,1085
24810450,80219,117,0,525,顺序结构,7829,java编程题,1,,1085
22948988,78174,118,1,527,输入输出Scanner,31897,java编程题,1,,1254
23759488,78178,118,0,527,输入输出Scanner,36406,java编程题,0,,1254
28383567,78266,118,1,527,输入输出Scanner,72514,java编程题,1,,1254
23015329,78267,118,1,527,输入输出Scanner,37945,java编程题,1,,1254
23094030,78277,118,1,527,输入输出Scanner,40136,java编程题,1,,1254
23009629,78278,118,1,527,输入输出Scanner,100781,java编程题,1,,1254
23004617,78282,118,1,527,输入输出Scanner,9953,java编程题,1,,1254
22992185,78286,118,1,527,输入输出Scanner,23421,java编程题,1,,1254
24815202,78708,118,0,527,输入输出Scanner,10695,java编程题,0,,1254
24974169,78710,118,1,527,输入输出Scanner,164988,java编程题,1,,1254
22995361,78154,119,1,528,字符转换,51379,java编程题,1,,2218
23075684,78166,119,1,528,字符转换,254123,java编程题,1,,2218
22948313,78178,119,0,528,字符转换,124494,java编程题,1,,2218
24470933,78184,119,0,528,字符转换,55261,java编程题,1,,2218
23082797,78270,119,1,528,字符转换,96778,java编程题,1,,2218
24816684,78708,119,0,528,字符转换,7107,java编程题,1,,2218
23775893,78765,119,0,528,字符转换,76132,java编程题,0,,2218
23458590,79111,119,0,528,字符转换,41311,java编程题,1,,2218
23082580,78270,120,1,529_530,浮点数_数字反转,70737,java编程题,1,,4015
23004278,78272,120,0,529_530,浮点数_数字反转,35328,java编程题,1,,4015
23363075,78708,120,0,529_530,浮点数_数字反转,7485,java编程题,1,,4015
30404642,70729,121,1,529_525,浮点数_顺序结构,53484,java编程题,1,,8462
32627371,70736,121,1,529_525,浮点数_顺序结构,118524,java编程题,1,,8462
31998790,70740,121,0,529_525,浮点数_顺序结构,58113,java编程题,1,,8462
26462570,78772,121,1,529_525,浮点数_顺序结构,34936,java编程题,1,,8462
30502021,78972,121,1,529_525,浮点数_顺序结构,22931,java编程题,1,,8462
21786899,78992,121,1,529_525,浮点数_顺序结构,37782,java编程题,1,,8462
21772094,79029,121,0,529_525,浮点数_顺序结构,79965,java编程题,2,,8462
20967700,79071,121,1,529_525,浮点数_顺序结构,2464,java编程题,1,,8462
20950751,79075,121,1,529_525,浮点数_顺序结构,1849,java编程题,1,,8462
21791016,79264,121,1,529_525,浮点数_顺序结构,114436,java编程题,1,,8462
23011534,79497,121,1,529_525,浮点数_顺序结构,104707,java编程题,1,,8462
24754636,83202,121,1,529_525,浮点数_顺序结构,71018,java编程题,1,,8462
25641919,83205,121,0,529_525,浮点数_顺序结构,4374,java编程题,5,,8462
24581715,83632,121,0,529_525,浮点数_顺序结构,17547,java编程题,3,,8462
25702613,83639,121,0,529_525,浮点数_顺序结构,23348,java编程题,3,,8462
33050320,83937,121,0,529_525,浮点数_顺序结构,36270,java编程题,1,,8462
32043583,84029,121,1,529_525,浮点数_顺序结构,51401,java编程题,1,,8462
32658812,84063,121,0,529_525,浮点数_顺序结构,29451,java编程题,1,,8462
33564364,84137,121,0,529_525,浮点数_顺序结构,11647,java编程题,3,,8462
33507770,84793,121,0,529_525,浮点数_顺序结构,28579,java编程题,2,,8462
29092465,84798,121,0,529_525,浮点数_顺序结构,63231,java编程题,3,,8462
32143454,84899,121,1,529_525,浮点数_顺序结构,80761,java编程题,1,,8462
32754238,88097,121,1,529_525,浮点数_顺序结构,147129,java编程题,1,,8462
34610664,88170,121,0,529_525,浮点数_顺序结构,17566,java编程题,5,,8462
35640199,88817,121,1,529_525,浮点数_顺序结构,19575,java编程题,1,,8462
32666995,88972,121,1,529_525,浮点数_顺序结构,57572,java编程题,1,,8462
33154352,89156,121,0,529_525,浮点数_顺序结构,40188,java编程题,3,,8462
35640648,90144,121,1,529_525,浮点数_顺序结构,39969,java编程题,1,,8462
38248432,96256,121,1,529_525,浮点数_顺序结构,37782,java编程题,1,,8462
38224491,96271,121,0,529_525,浮点数_顺序结构,79965,java编程题,2,,8462
38252832,96293,121,1,529_525,浮点数_顺序结构,2464,java编程题,1,,8462
38213292,96296,121,1,529_525,浮点数_顺序结构,1849,java编程题,1,,8462
38175612,96298,121,1,529_525,浮点数_顺序结构,114436,java编程题,1,,8462
28189674,70707,122,1,529_525,浮点数_顺序结构,15267,java编程题,1,,8463
33533357,70729,122,1,529_525,浮点数_顺序结构,34927,java编程题,1,,8463
29399635,75361,122,1,529_525,浮点数_顺序结构,58297,java编程题,1,,8463
20960417,78911,122,1,529_525,浮点数_顺序结构,7255,java编程题,1,,8463
29975149,78912,122,1,529_525,浮点数_顺序结构,19668,java编程题,1,,8463
20951530,78913,122,1,529_525,浮点数_顺序结构,1388,java编程题,1,,8463
30224823,79013,122,1,529_525,浮点数_顺序结构,38514,java编程题,1,,8463
28541649,79016,122,1,529_525,浮点数_顺序结构,8683,java编程题,1,,8463
21864357,79021,122,1,529_525,浮点数_顺序结构,28156,java编程题,1,,8463
29756779,79056,122,1,529_525,浮点数_顺序结构,8888,java编程题,1,,8463
22895652,79424,122,1,529_525,浮点数_顺序结构,7047,java编程题,1,,8463
22714977,79432,122,1,529_525,浮点数_顺序结构,14170,java编程题,1,,8463
23000313,79496,122,1,529_525,浮点数_顺序结构,96319,java编程题,1,,8463
26133237,80615,122,1,529_525,浮点数_顺序结构,23149,java编程题,1,,8463
23019169,80904,122,1,529_525,浮点数_顺序结构,26609,java编程题,1,,8463
23025447,81231,122,1,529_525,浮点数_顺序结构,19266,java编程题,1,,8463
21944322,81442,122,0,529_525,浮点数_顺序结构,24219,java编程题,3,,8463
33449887,83169,122,1,529_525,浮点数_顺序结构,130296,java编程题,1,,8463
25701338,83639,122,1,529_525,浮点数_顺序结构,41244,java编程题,1,,8463
32657566,84063,122,1,529_525,浮点数_顺序结构,5218,java编程题,1,,8463
33568970,84142,122,1,529_525,浮点数_顺序结构,13773,java编程题,1,,8463
27218185,84667,122,0,529_525,浮点数_顺序结构,24423,java编程题,2,,8463
35654169,90190,122,1,529_525,浮点数_顺序结构,11578,java编程题,1,,8463
38294095,96219,122,1,529_525,浮点数_顺序结构,7255,java编程题,1,,8463
38264429,96220,122,1,529_525,浮点数_顺序结构,19668,java编程题,1,,8463
38142106,96221,122,1,529_525,浮点数_顺序结构,1388,java编程题,1,,8463
38145646,96260,122,1,529_525,浮点数_顺序结构,8683,java编程题,1,,8463
38167317,96265,122,1,529_525,浮点数_顺序结构,28156,java编程题,1,,8463
38187298,96279,122,1,529_525,浮点数_顺序结构,8888,java编程题,1,,8463
22946621,78158,123,0,525_413,顺序结构_字符串,275954,java编程题,1,,12470
23134194,78282,123,1,525_413,顺序结构_字符串,516672,java编程题,1,,12470
23010834,78285,123,0,525_413,顺序结构_字符串,231688,java编程题,0,,12470
22984623,78595,123,1,525_413,顺序结构_字符串,102793,java编程题,1,,12470
23156875,78708,123,0,525_413,顺序结构_字符串,4797,java编程题,1,,12470
23091189,78157,124,1,525_413,顺序结构_字符串,38538,java编程题,1,,12813
25567634,78178,124,0,525_413,顺序结构_字符串,50988,java编程题,0,,12813
23004639,78282,124,0,525_413,顺序结构_字符串,228407,java编程题,1,,12813
22991987,78286,124,0,525_413,顺序结构_字符串,25297,java编程题,1,,12813
23775511,78705,124,0,525_413,顺序结构_字符串,185771,java编程题,1,,12813
23363232,78708,124,0,525_413,顺序结构_字符串,10953,java编程题,0,,12813
21284339,78718,124,1,525_413,顺序结构_字符串,73702,java编程题,1,,12813
23071828,78720,124,0,525_413,顺序结构_字符串,56911,java编程题,0,,12813
28936007,79111,124,0,525_413,顺序结构_字符串,77056,java编程题,1,,12813
23142904,78169,125,0,525,顺序结构,93692,java编程题,1,,12865
24469533,78184,125,0,525,顺序结构,40886,java编程题,0,,12865
26932300,78270,125,0,525,顺序结构,44025,java编程题,0,,12865
23010231,78285,125,0,525,顺序结构,141968,java编程题,1,,12865
23075950,78572,125,0,525,顺序结构,226383,java编程题,1,,12865
24973924,78704,125,0,525,顺序结构,157433,java编程题,1,,12865
23071360,78708,125,1,525,顺序结构,23609,java编程题,1,,12865
24972729,78710,125,0,525,顺序结构,3898,java编程题,0,,12865
23775039,78765,125,0,525,顺序结构,12100,java编程题,0,,12865
23169377,78158,126,1,525_529,顺序结构_浮点数,75203,java编程题,1,,12949
23456367,78161,126,0,525_529,顺序结构_浮点数,102018,java编程题,1,,12949
23457381,78163,126,0,525_529,顺序结构_浮点数,143706,java编程题,1,,12949
23142817,78169,126,0,525_529,顺序结构_浮点数,94699,java编程题,1,,12949
22950082,78178,126,0,525_529,顺序结构_浮点数,70994,java编程题,1,,12949
22986666,78277,126,0,525_529,顺序结构_浮点数,46926,java编程题,1,,12949
23008881,78278,126,0,525_529,顺序结构_浮点数,331094,java编程题,1,,12949
23139246,78285,126,0,525_529,顺序结构_浮点数,32359,java编程题,1,,12949
24976449,78705,126,0,525_529,顺序结构_浮点数,5706,java编程题,1,,12949
23156816,78708,126,0,525_529,顺序结构_浮点数,219,java编程题,0,,12949
24815977,78714,126,0,525_529,顺序结构_浮点数,11769,java编程题,1,,12949
23072008,78720,126,0,525_529,顺序结构_浮点数,40131,java编程题,1,,12949
23132410,78161,127,0,525_499,顺序结构_整数,67391,java编程题,1,,12978
22947223,78178,127,0,525_499,顺序结构_整数,48575,java编程题,1,,12978
23775042,78714,127,0,525_499,顺序结构_整数,39771,java编程题,1,,12978
23072472,78720,127,0,525_499,顺序结构_整数,107892,java编程题,1,,12978
22995799,78154,128,0,531,分支结构,72063,java编程题,1,,12981
23131761,78161,128,0,531,分支结构,50078,java编程题,1,,12981
23020384,78173,128,0,531,分支结构,209745,java编程题,1,,12981
26432770,78178,128,0,531,分支结构,17645,java编程题,0,,12981
23042850,78286,128,0,531,分支结构,48547,java编程题,1,,12981
22983315,78595,128,0,531,分支结构,112444,java编程题,1,,12981
23776283,78704,128,0,531,分支结构,148550,java编程题,1,,12981
24972635,78705,128,0,531,分支结构,226867,java编程题,1,,12981
23774630,78708,128,0,531,分支结构,54651,java编程题,1,,12981
24816259,78714,128,0,531,分支结构,5011,java编程题,1,,12981
24815917,78765,128,0,531,分支结构,28485,java编程题,0,,12981
28937270,79111,128,0,531,分支结构,19236,java编程题,1,,12981
22947759,78154,129,0,531_499,分支结构_整数,211244,java编程题,1,,13080
23025098,78167,129,0,531_499,分支结构_整数,74000,java编程题,1,,13080
23458023,78175,129,0,531_499,分支结构_整数,34753,java编程题,1,,13080
23076873,78282,129,0,531_499,分支结构_整数,106938,java编程题,1,,13080
24973759,78710,129,0,531_499,分支结构_整数,4158,java编程题,0,,13080
23072931,78724,129,0,531_499,分支结构_整数,14520,java编程题,0,,13080
23774545,78765,129,0,531_499,分支结构_整数,103342,java编程题,0,,13080
22995463,78154,130,1,531,分支结构,183635,java编程题,1,,13130
23641549,78184,130,0,531,分支结构,72389,java编程题,1,,13130
26947202,78270,130,0,531,分支结构,129189,java编程题,1,,13130
23046650,78276,130,0,531,分支结构,24828,java编程题,1,,13130
23009471,78278,130,1,531,分支结构,207359,java编程题,1,,13130
23134381,78282,130,1,531,分支结构,246703,java编程题,1,,13130
23078904,78285,130,0,531,分支结构,13063,java编程题,0,,13130
23775392,78704,130,1,531,分支结构,174293,java编程题,1,,13130
24816430,78706,130,0,531,分支结构,21759,java编程题,1,,13130
23775729,78720,130,1,531,分支结构,53273,java编程题,1,,13130
23073210,78724,130,0,531,分支结构,5207,java编程题,0,,13130
24972143,80219,130,1,531,分支结构,81013,java编程题,1,,13130
23075247,78166,131,1,531_413,分支结构_字符串,708857,java编程题,1,,13152
22949836,78175,131,0,531_413,分支结构_字符串,168352,java编程题,1,,13152
23138803,78270,131,1,531_413,分支结构_字符串,145033,java编程题,1,,13152
23003320,78272,131,0,531_413,分支结构_字符串,130297,java编程题,1,,13152
23010036,78280,131,1,531_413,分支结构_字符串,649337,java编程题,1,,13152
22992364,78286,131,0,531_413,分支结构_字符串,37859,java编程题,1,,13152
23075901,78572,131,1,531_413,分支结构_字符串,153380,java编程题,1,,13152
24976062,78705,131,0,531_413,分支结构_字符串,25779,java编程题,1,,13152
23156777,78708,131,0,531_413,分支结构_字符串,4687,java编程题,0,,13152
23072048,78718,131,1,531_413,分支结构_字符串,187323,java编程题,1,,13152
